week,trendvalue,term,nation
4/28/2019,82,therapy,Mexico
6/16/2019,82,therapy,Mexico
6/23/2019,82,therapy,Mexico
1/12/2020,82,therapy,Mexico
5/3/2020,82,therapy,Mexico
6/21/2020,82,therapy,Mexico
8/9/2020,82,therapy,Mexico
8/30/2020,82,therapy,Mexico
9/6/2020,82,therapy,Mexico
9/27/2020,82,therapy,Mexico
9/12/2021,82,therapy,Mexico
9/26/2021,82,therapy,Mexico
7/5/2020,81,therapy,India
8/1/2021,81,therapy,India
3/8/2020,81,ocd,Brazil
5/17/2020,81,ocd,Brazil
8/9/2020,81,ocd,Brazil
3/22/2020,81,anxiety,Brazil
5/17/2020,81,anxiety,Brazil
6/14/2020,81,anxiety,Brazil
9/5/2021,81,anxiety,Brazil
11/24/2019,81,therapy,Brazil
2/2/2020,81,therapy,Brazil
3/22/2020,81,therapy,Brazil
6/28/2020,81,therapy,Brazil
8/9/2020,81,therapy,Brazil
11/22/2020,81,therapy,Brazil
1/17/2021,81,therapy,Brazil
7/4/2021,81,therapy,Brazil
4/26/2020,81,anxiety,Italy
2/7/2021,81,anxiety,Italy
2/28/2021,81,anxiety,Italy
5/9/2021,81,anxiety,Italy
3/7/2021,81,depression,New Zealand
8/15/2021,81,anxiety,New Zealand
9/19/2021,81,anxiety,New Zealand
1/3/2021,81,therapy,New Zealand
6/20/2021,81,therapy,New Zealand
5/10/2020,81,ocd,United States
5/2/2021,81,ocd,United States
9/8/2019,81,depression,United States
3/8/2020,81,depression,United States
11/8/2020,81,depression,United States
11/29/2020,81,depression,United States
2/28/2021,81,depression,United States
5/19/2019,81,anxiety,United States
6/16/2019,81,anxiety,United States
6/23/2019,81,insomnia,United States
10/6/2019,81,insomnia,United States
8/23/2020,81,insomnia,United States
10/4/2020,81,insomnia,United States
12/6/2020,81,insomnia,United States
6/20/2021,81,insomnia,United States
9/26/2021,81,insomnia,United States
10/25/2020,81,therapy,Italy
4/12/2020,81,anxiety,Mexico
6/28/2020,81,anxiety,Mexico
7/5/2020,81,anxiety,Mexico
1/3/2021,81,anxiety,Mexico
1/24/2021,81,anxiety,Mexico
9/8/2019,81,therapy,Mexico
1/3/2021,81,therapy,Mexico
1/5/2020,80,ocd,India
5/3/2020,80,ocd,India
6/7/2020,80,ocd,India
5/9/2021,80,ocd,India
5/16/2021,80,ocd,India
6/6/2021,80,ocd,India
5/9/2021,80,insomnia,India
3/28/2021,80,therapy,India
9/12/2021,80,therapy,India
7/5/2020,80,ocd,Brazil
7/26/2020,80,ocd,Brazil
7/12/2020,80,anxiety,Brazil
7/19/2020,80,anxiety,Brazil
9/20/2020,80,anxiety,Brazil
12/27/2020,80,anxiety,Brazil
2/7/2021,80,anxiety,Brazil
9/1/2019,80,insomnia,Brazil
5/31/2020,80,insomnia,Brazil
1/20/2019,80,therapy,Brazil
7/7/2019,80,therapy,Brazil
1/5/2020,80,therapy,Brazil
6/7/2020,80,therapy,Brazil
7/26/2020,80,therapy,Brazil
8/16/2020,80,therapy,Brazil
11/1/2020,80,therapy,Brazil
1/24/2021,80,therapy,Brazil
8/30/2020,80,anxiety,Italy
5/30/2021,80,anxiety,Italy
4/21/2019,80,depression,New Zealand
8/18/2019,80,anxiety,New Zealand
